prn (keVnr) 	 qi (keVee) 
19.075797   11.489857
12.476805   6.793474
8.385223   4.363053
6.673411   3.914470
16.398790   10.238493
18.356677   7.547203
7.705446   3.659132
16.048889   8.714721
7.928940   5.264943
2.831003   2.571448
15.052128   8.905482
13.503387   8.881883
11.281912   5.196350
10.414666   6.888576
10.310090   6.412604
12.554675   7.646568
18.911741   11.700039
10.341803   6.266637
4.859026   2.675753
4.974281   2.938596
17.009656   10.186182
6.824670   4.878870
16.481575   11.897530
5.175871   3.024096
10.537409   6.033873
10.561196   7.009885
3.609820   1.996217
2.918358   0.976877
8.455838   5.053905
12.938540   7.931548
4.649093   2.728106
11.829882   2.615450
5.690895   3.157793
9.841548   6.547445
13.012100   8.167636
2.416922   0.435477
13.344993   7.315676
9.376516   5.753667
3.820593   2.494435
14.199635   8.962439
9.463520   5.570510
11.675442   6.559907
6.099505   3.061761
14.512254   9.211875
6.835956   4.304015
17.218774   10.241903
12.538203   7.350872
7.905703   4.747035
3.831551   2.330803
4.158179   2.220298
19.534973   12.940267
3.994689   0.994077
2.482529   2.099853
17.945562   13.916832
7.425640   4.100288
5.250418   0.242085
14.012213   7.781739
12.362048   7.589144
4.692038   2.754287
15.710979   11.064108
11.315849   7.301385
6.859182   3.923820
10.486545   6.327631
8.786064   5.384309
2.425624   1.687246
15.587952   11.028682
9.495019   5.526176
6.138110   3.222574
17.475757   6.247356
13.051561   7.676509
19.172229   13.480985
15.846137   9.554037
9.702641   5.076413
17.582612   11.636369
12.064985   8.361288
12.603395   7.741845
11.546332   7.422968
19.612970   12.490083
11.164489   6.910246
9.884950   5.769109
11.684092   6.239526
18.024970   11.108429
7.606798   4.785047
4.928186   2.836592
14.305716   7.750981
7.160846   4.305214
4.263257   2.339669
13.345037   9.482616
6.691470   3.340732
6.454966   3.784995
6.811117   4.057718
2.293791   1.381053
7.432827   3.801818
9.245628   5.480565
10.976773   7.769314
15.393928   9.258922
6.711996   3.024845
7.081225   3.283552
6.376334   4.054777
8.762766   5.347615
8.177449   4.537608
7.784148   5.112439
18.572660   11.401186
3.478828   1.936982
9.206024   5.550004
2.296062   0.154733
11.169830   6.579439
8.190263   5.286483
10.048479   6.041340
10.012260   6.372835
17.645280   11.034641
2.732964   1.349072
8.116525   4.041604
19.100826   12.413827
2.512209   1.739459
19.787049   12.356494
9.724992   5.812890
19.572453   12.033565
10.557912   6.405011
5.887883   3.024852
18.306583   12.954207
11.251104   7.387271
9.402273   6.149867
14.923428   9.090698
15.782884   8.648826
14.626907   9.132277
3.155159   1.721167
13.521944   9.159023
7.671420   4.862224
14.751946   6.241944
3.431442   0.972474
3.093068   1.997204
6.553964   4.505744
17.193637   10.453377
12.658769   7.906481
11.016344   7.160049
3.766695   2.219397
16.251255   10.236370
15.369987   9.677672
2.016505   0.362069
13.595263   8.745719
7.536239   4.913008
11.737746   6.955688
8.514736   5.598304
13.608889   7.991387
10.686172   6.857638
15.204354   10.511816
12.328381   7.451882
9.972810   5.839202
5.539245   3.627615
14.662980   8.357283
6.679994   4.055819
7.666351   4.906083
17.468278   11.059531
4.880407   2.581272
3.575461   2.412052
19.797539   12.142305
8.867097   5.671449
16.829472   11.505218
5.880499   3.193313
14.045672   8.386015
4.192148   2.312382
11.089080   6.593776
14.667612   9.209882
3.338133   2.052211
3.741273   2.554014
5.873219   3.844803
11.431208   6.304705
4.106348   2.242939
18.921087   12.139898
17.164895   9.822391
14.572137   9.385240
15.980275   9.831154
13.915831   9.139483
2.306324   0.486795
12.726188   8.274422
5.826434   4.030748
7.151858   4.842378
3.516640   2.048909
4.945160   2.728510
17.253899   11.932058
15.266535   11.097063
6.206670   3.290743
6.256654   3.842835
18.304911   11.647236
8.948063   5.795534
16.597133   10.964176
19.772813   11.860396
3.930827   2.300846
11.289833   8.613676
12.327907   7.430633
14.543143   5.647277
4.472978   2.392601
19.444405   12.660435
8.511810   5.088468
11.662190   7.818770
7.306366   4.019888
13.757184   7.492350
2.368155   0.920301
7.374149   4.373939
12.381343   7.832432
3.938973   1.948684
11.000227   5.887921
14.544372   9.200529
13.869934   8.706048
13.230293   8.134140
17.529840   11.600487
9.399200   5.595810
4.973448   3.062939
2.106665   1.019806
8.644226   6.089980
17.032806   10.288060
19.281777   4.524427
12.023309   7.249098
3.899659   2.082729
10.670254   7.766611
6.391786   3.939208
7.818167   4.662885
16.056317   9.677591
9.854550   6.761160
16.160727   9.490438
15.457017   8.425768
8.636506   4.861350
4.491431   0.672613
16.408536   0.447920
12.731630   7.041682
10.866753   6.754508
16.705019   9.654656
16.966311   10.334208
7.098132   3.885861
5.262310   3.373632
10.826613   6.756880
6.127985   3.919545
14.493004   9.223047
14.142897   9.124970
9.275971   5.467961
2.108908   1.817428
3.632844   0.541114
15.807947   9.633312
10.942723   5.855701
4.191478   0.502497
9.095872   3.883262
14.045820   8.003166
11.017099   7.419830
4.651181   2.526112
4.609529   2.242310
12.100113   7.199681
12.851500   7.295520
16.689956   10.057726
12.167135   8.099351
19.569104   11.459473
13.709799   9.388690
16.682134   10.941705
6.495617   4.041356
3.589806   1.787270
14.109420   8.023172
7.798011   4.606014
6.372831   3.526386
7.710459   4.968627
8.279527   5.814947
2.633899   0.327908
